VCP Plasma,Target,NPQ
A_01_Emory_8FKM,ACHE,13.1233728
A_02_Emory_BYYZ,ACHE,13.64228739
A_03_Emory_VP0015,ACHE,13.23823865
A_04_Emory_VP004,ACHE,13.83924266
A_05_Emory_VP006,ACHE,13.57089969
A_06_Emory_VP007,ACHE,13.16872525
A_07_Emory_VP009,ACHE,13.9491927
A_08_Emory_VP010,ACHE,13.37637398
A_09_Emory_VP012,ACHE,12.96180389
A_10_Emory_BN073,ACHE,13.66094317
A_11_Emory_BN038,ACHE,13.09513572
B_01_Emory_BN087,ACHE,13.29170857
B_02_Emory_BN006,ACHE,13.5910534
B_03_Emory_T00535,ACHE,13.39557924
B_04_Emory_02-003BM,ACHE,13.23433592
B_05_Emory_02-004MG,ACHE,13.44247176
B_06_Emory_01-005DS,ACHE,13.82235529
B_07_Emory_56-001CD,ACHE,13.3272053
A_01_Emory_8FKM,AGRN,13.6080442
A_02_Emory_BYYZ,AGRN,13.56839974
A_03_Emory_VP0015,AGRN,13.73733183
A_04_Emory_VP004,AGRN,13.90817778
A_05_Emory_VP006,AGRN,13.7534274
A_06_Emory_VP007,AGRN,13.68276878
A_07_Emory_VP009,AGRN,13.67272255
A_08_Emory_VP010,AGRN,14.00092722
A_09_Emory_VP012,AGRN,14.13430809
A_10_Emory_BN073,AGRN,13.71682933
A_11_Emory_BN038,AGRN,13.21373679
B_01_Emory_BN087,AGRN,13.64516847
B_02_Emory_BN006,AGRN,13.40320939
B_03_Emory_T00535,AGRN,13.70640553
B_04_Emory_02-003BM,AGRN,13.3142985
B_05_Emory_02-004MG,AGRN,13.95535803
B_06_Emory_01-005DS,AGRN,13.98909065
B_07_Emory_56-001CD,AGRN,14.16034751
A_01_Emory_8FKM,ANXA5,13.6177361
A_02_Emory_BYYZ,ANXA5,12.65540523
A_03_Emory_VP0015,ANXA5,18.95747835
A_04_Emory_VP004,ANXA5,19.86480381
A_05_Emory_VP006,ANXA5,19.12574771
A_06_Emory_VP007,ANXA5,18.70989874
A_07_Emory_VP009,ANXA5,19.57904571
A_08_Emory_VP010,ANXA5,19.25254357
A_09_Emory_VP012,ANXA5,20.06501224
A_10_Emory_BN073,ANXA5,9.327800757
